"Agouris,Peggy",College of William Mary
"Chaparro,Oscar",College of William Mary
"Davis,Tim",College of William Mary
"Deverick,James",College of William Mary
"Evtyushkin,Dmitry",College of William Mary
"Hu,Tianran",College of William Mary
"Jog,Adwait",College of William Mary
"Kemper,Peter",College of William Mary
"Khargonkar,Arohi",College of William Mary
"Kumar,Pradeep",College of William Mary
"Lewis,Robert Michael",College of William Mary
"Li,Qun",College of William Mary
"Liu,Zhenming",College of William Mary
"Mao,Weizhen",College of William Mary
"Nadkarni,Adwait",College of William Mary
"Peers,Pieter",College of William Mary
"Poshyvanyk,Denys",College of William Mary
"Ren,Bin",College of William Mary
"Shenefiel,Chris",College of William Mary
"Smirni,Evgenia",College of William Mary
"Stathopoulos,Andreas",College of William Mary
"Stefanidis,Anthony",College of William Mary
"Sun,Yifan",College of William Mary
"Torczon,Virginia",College of William Mary
"White,Martin",College of William Mary
"Willner,Dana",College of William Mary
"Zhou,Gang",College of William Mary
"Allen, James F.",University of Rochester
"Bai, Zhen",University of Rochester
"Criswell, John",University of Rochester
"Ding, Chen",University of Rochester
"Dwarkadas, Sandhya",University of Rochester
"Ferguson, George",University of Rochester
"Gildea, Daniel",University of Rochester
"Hemaspaandra, Lane A.",University of Rochester
"Hoque, Ehsan",University of Rochester
"Jacobs, Robert A.",University of Rochester
"Kautz, Henry",University of Rochester
"Luo, Jiebo",University of Rochester
"Nargesian, Fatemeh",University of Rochester
"Pai, Sreepathi",University of Rochester
"Pawlicki, Thaddeus E.",University of Rochester
"Purtee, Adam",University of Rochester
"Schubert, Lenhart K.",University of Rochester
"Scott, Michael L.",University of Rochester
"Stefankovic, Daniel",University of Rochester
"Venkitasubramaniam, Muthuramakrishnan",University of Rochester
"Xu, Chenliang",University of Rochester
"Zhu, Yuhao",University of Rochester
"Zhupa, Eustrat",University of Rochester
Eugene Agichtein,Emory University
Dorian Arnold,Emory University
Imon Banerjee,Emory University
Manoj K. Bhasin,Emory University
Shun Yan Cheung,Emory University
Jinho Choi,Emory University
"Gari Clifford, D. Phil.",Emory University
Nosayba El-Sayed,Emory University
Davide Fossati,Emory University
Michelangelo Grigni,Emory University
Joyce Ho,Emory University
Rishi Kamaleswaran,Emory University
Qiao Li,Emory University
James Lu,Emory University
Ken Mandelberg,Emory University
